Roll_no,Hindi,English,Science,Maths,History,Geograpgy,Total,Gender
302,60,94,36,33,6,52,281,Female
303,94,67,32,51,64,73,381,Female
304,36,58,96,27,68,24,309,Female
305,7,93,47,27,52,94,320,Female
306,73,85,52,65,84,50,409,Female
307,96,60,96,1,38,1,292,Female
308,1,49,67,65,42,61,285,Female
309,99,33,32,18,50,48,280,Female
310,76,38,30,94,30,69,337,Female
311,3,67,81,59,33,84,327,Female
312,49,84,28,51,48,42,302,Female
313,88,10,61,43,90,93,385,Female
314,82,8,87,17,12,32,238,Female
315,24,26,86,76,64,6,282,Female
316,59,93,31,55,99,92,429,Female
317,94,94,30,41,17,49,325,Female
318,97,49,84,41,89,74,434,Female
319,20,18,42,51,20,75,226,Female
320,16,26,63,51,93,64,313,Female
321,93,96,22,96,28,80,415,Female
322,75,15,94,18,3,50,255,Female
323,72,30,75,98,49,38,362,Female
324,50,65,58,60,36,66,335,Female
325,68,24,21,45,47,88,293,Female
326,1,16,69,71,27,83,267,Female
327,16,30,50,95,19,60,270,Female
328,65,4,33,6,3,11,122,Female
329,92,28,99,25,91,80,415,Female
330,35,2,22,59,99,24,241,Female
331,6,61,0,27,9,78,181,Female
332,92,26,56,69,75,56,374,Female
333,30,29,61,6,64,64,254,Female
334,21,40,43,69,21,14,208,Female
335,89,14,57,18,2,99,279,Female
336,55,57,22,93,85,8,320,Female
337,81,83,84,66,55,62,431,Female
338,68,40,54,87,47,61,357,Female
339,98,61,13,56,42,51,321,Female
340,79,19,72,89,99,13,371,Female
341,64,73,77,42,90,51,397,Female
342,40,7,6,61,44,41,199,Female
343,88,79,45,87,18,6,323,Female
344,94,53,65,50,92,0,354,Female
345,43,7,58,77,66,50,301,Female
346,33,79,72,29,64,73,350,Female
347,99,27,88,83,63,26,386,Female
348,22,42,68,98,52,33,315,Female
349,70,40,45,30,10,99,294,Female
350,26,18,32,79,43,33,231,Female
351,98,89,41,51,79,86,444,Female
352,32,19,14,76,97,63,301,Female
353,62,72,83,76,46,17,356,Female
354,68,50,57,78,47,6,306,Female
355,88,38,70,76,30,47,349,Female
356,2,35,69,36,34,38,214,Female
357,47,10,88,81,7,7,240,Female
358,96,22,97,35,98,82,430,Female
359,48,32,89,22,13,84,288,Female
360,65,32,72,8,95,37,309,Female
361,48,88,26,69,67,86,384,Female
362,11,66,63,76,89,81,386,Female
363,46,13,46,33,34,37,209,Female
364,18,57,17,55,54,75,276,Female
365,58,46,77,48,58,90,377,Female
366,94,53,79,36,48,48,358,Female
367,2,14,28,38,83,26,191,Female
368,40,59,13,48,66,14,240,Female
369,43,41,4,15,77,90,270,Female
370,22,32,36,90,15,29,224,Female
371,63,7,96,27,39,14,246,Female
372,6,54,1,15,54,49,179,Female
373,67,48,85,53,41,50,344,Female
374,66,61,30,61,42,85,345,Female
375,48,58,98,67,87,44,402,Female
376,73,22,31,23,17,2,168,Female
377,11,82,31,35,2,85,246,Female
378,85,46,22,82,12,71,318,Female
379,96,41,97,68,50,76,428,Female
380,22,31,60,52,99,55,319,Female
381,28,95,22,38,27,24,234,Female
382,88,19,49,17,36,50,259,Female
383,13,52,11,77,95,57,305,Female
384,61,20,18,5,6,6,116,Female
385,55,51,41,41,25,46,259,Female
386,48,95,60,18,80,87,388,Female
387,1,63,66,31,3,24,188,Female
388,4,6,94,14,97,20,235,Female
389,3,20,0,38,65,28,154,Female
390,88,59,36,73,5,18,279,Female
391,94,15,6,73,46,64,298,Female
392,35,28,25,32,96,51,267,Female
393,52,60,41,1,20,88,262,Female
394,34,70,74,26,51,80,335,Female
395,44,26,42,34,94,33,273,Female
396,85,10,49,70,51,60,325,Female
397,70,27,91,37,5,58,288,Female
398,86,24,8,21,86,21,246,Female
399,72,56,64,64,19,62,337,Female
400,20,43,50,70,35,27,245,Female
401,27,80,10,58,29,63,267,Male
402,47,75,1,5,36,77,241,Male
403,4,65,45,79,89,47,329,Male
404,95,71,26,35,45,3,275,Male
405,34,91,44,77,95,79,420,Male
406,57,59,14,90,37,30,287,Male
407,29,72,84,10,57,67,319,Male
408,80,98,36,71,18,86,389,Male
409,83,0,37,60,76,43,299,Male
410,91,50,1,91,10,4,247,Male
411,65,69,4,53,11,66,268,Male
412,80,50,32,20,58,38,278,Male
413,27,92,15,28,76,64,302,Male
414,53,47,63,38,77,89,367,Male
415,60,46,45,90,96,79,416,Male
416,26,53,75,88,44,36,322,Male
417,70,34,27,67,55,29,282,Male
418,37,88,9,1,38,53,226,Male
419,59,84,84,23,5,37,292,Male
420,98,54,97,85,54,25,413,Male
421,6,57,72,32,16,37,220,Male
422,96,84,93,88,50,25,436,Male
423,37,19,41,2,99,67,265,Male
424,32,57,94,13,73,27,296,Male
425,29,25,12,45,93,69,273,Male
426,23,79,53,61,30,93,339,Male
427,44,23,49,85,64,10,275,Male
428,51,43,86,24,43,68,315,Male
429,75,38,51,34,84,44,326,Male
430,11,48,9,58,99,50,275,Male
431,43,41,90,40,23,68,305,Male
432,44,40,58,43,29,92,306,Male
433,53,89,73,25,52,25,317,Male
434,1,84,85,62,56,43,331,Male
435,77,76,22,35,1,14,225,Male
436,23,25,13,27,59,11,158,Male
437,89,23,76,83,1,93,365,Male
438,55,19,63,64,8,80,289,Male
439,11,87,18,27,90,50,283,Male
440,8,92,42,57,70,59,328,Male
441,94,70,30,77,11,39,321,Male
442,84,74,47,16,78,66,365,Male
443,81,24,10,25,44,65,249,Male
444,63,32,94,2,41,2,234,Male
445,71,48,30,25,8,82,264,Male
446,26,77,97,26,6,84,316,Male
447,38,37,70,9,28,72,254,Male
448,35,90,3,86,24,93,331,Male
449,57,25,9,99,39,48,277,Male
450,12,1,54,71,26,49,213,Male
451,66,80,56,82,94,26,404,Male
452,85,85,82,23,52,80,407,Male
453,58,44,67,62,10,12,253,Male
454,32,82,75,57,44,1,291,Male
455,19,42,55,93,59,1,269,Male
456,72,46,65,24,35,45,287,Male
457,82,2,5,43,20,64,216,Male
458,68,74,84,27,25,98,376,Male
459,81,47,90,50,45,9,322,Male
460,58,12,63,41,89,25,288,Male
461,32,63,20,63,87,11,276,Male
462,27,39,55,32,47,52,252,Male
463,92,6,60,14,56,41,269,Male
464,42,69,3,64,44,55,277,Male
465,52,97,10,62,20,12,253,Male
466,56,6,92,92,25,29,300,Male
467,24,22,41,16,29,16,148,Male
468,94,79,31,89,79,13,385,Male
469,12,70,12,55,80,0,229,Male
470,27,87,94,92,14,28,342,Male
471,94,17,62,71,21,27,292,Male
472,5,36,2,67,5,92,207,Male
473,0,47,11,7,77,90,232,Male
474,72,77,25,90,41,88,393,Male
475,94,98,56,53,87,24,412,Male
476,97,84,28,64,49,88,410,Male
477,96,87,48,44,38,43,356,Male
478,14,82,76,46,69,96,383,Male
479,29,26,94,73,82,46,350,Male
480,52,51,43,53,92,73,364,Male
481,87,45,72,15,34,18,271,Male
482,68,17,11,71,50,64,281,Male
483,78,65,24,53,14,2,236,Male
484,29,15,16,96,52,56,264,Male
485,47,19,22,45,63,99,295,Male
486,94,82,8,88,21,35,328,Male
487,85,42,77,57,73,29,363,Male
488,54,98,0,6,22,65,245,Male
489,12,54,10,55,29,73,233,Male
490,70,66,89,10,40,81,356,Male
491,40,30,38,52,82,62,304,Male
492,47,10,13,34,44,59,207,Male
493,57,70,10,40,7,90,274,Male
494,21,2,13,98,21,84,239,Male
495,63,69,30,11,85,36,294,Male
496,38,38,53,53,53,33,268,Male
497,21,24,53,26,62,94,280,Male
498,62,82,54,70,48,33,349,Male
499,10,49,52,79,20,95,305,Male
500,47,85,23,85,12,83,335,Male
501,16,35,62,42,99,0,254,Male
502,81,73,42,37,95,46,374,Male
503,52,17,82,10,77,18,256,Male
504,26,50,62,95,35,46,314,Male
505,73,3,95,96,43,64,374,Male
506,7,35,88,15,22,46,213,Male
507,89,11,86,84,71,21,362,Male
508,62,79,19,37,17,78,292,Male
509,77,43,11,70,63,73,337,Male
510,15,35,31,42,37,75,235,Male
511,62,90,33,89,60,47,381,Male
512,89,77,71,56,9,19,321,Male
513,3,47,66,24,25,16,181,Male
514,37,17,4,90,57,1,206,Male
515,20,23,61,18,71,38,231,Male
516,49,85,50,4,40,67,295,Male
517,96,68,83,20,49,80,396,Male
518,97,20,12,32,84,62,307,Male
519,34,7,14,75,40,29,199,Male
520,97,82,20,89,45,74,407,Male
521,58,2,62,29,51,30,232,Male
522,74,13,59,38,65,11,260,Male
523,15,6,79,40,28,20,188,Male
524,1,20,63,23,21,28,156,Male
525,81,27,69,67,49,27,320,Male
526,60,63,4,19,57,52,255,Male
527,31,20,8,89,95,52,295,Male
528,23,91,39,38,3,91,285,Male
529,1,75,15,23,17,56,187,Male
530,50,29,26,59,20,25,209,Male
531,36,92,84,53,28,93,386,Male
532,88,91,97,93,94,42,505,Male
533,62,44,41,6,90,23,266,Male
534,70,71,76,20,67,67,371,Male
535,2,50,96,64,45,76,333,Male
536,19,74,69,93,76,89,420,Male
537,47,59,34,70,83,15,308,Male
538,58,91,14,87,62,23,335,Male
539,88,76,84,40,67,73,428,Male
540,18,33,94,61,7,52,265,Male
541,3,70,6,13,53,77,222,Male
542,5,91,61,41,23,88,309,Male
543,4,64,4,47,6,53,178,Male
544,48,78,34,16,39,58,273,Male
545,69,43,64,59,34,95,364,Male
546,78,83,68,43,76,85,433,Male
547,91,38,68,40,41,5,283,Male
548,5,6,60,38,69,60,238,Male
549,79,77,93,49,47,16,361,Male
550,43,46,95,23,4,18,229,Male
551,88,43,35,73,99,42,380,Male
552,71,48,1,98,90,17,325,Male
553,75,72,76,97,30,99,449,Male
554,22,55,57,6,72,89,301,Male
555,66,45,85,89,33,12,330,Male
556,13,45,99,90,88,65,400,Male
557,85,88,39,97,31,15,355,Male
558,31,77,66,63,83,14,334,Male
559,57,54,80,77,29,24,321,Male
560,53,66,88,37,32,33,309,Male
561,15,87,5,37,75,10,229,Male
562,32,65,11,25,1,43,177,Male
563,68,31,37,22,63,88,309,Male
564,54,51,35,83,58,53,334,Male
565,95,98,78,98,23,70,462,Male
566,55,13,10,3,82,11,174,Male
567,66,37,59,63,33,36,294,Male
568,31,76,11,14,86,65,283,Male
569,83,19,55,82,47,45,331,Male
570,17,13,87,82,89,13,301,Male
571,95,82,52,59,1,94,383,Male
572,58,47,21,20,24,20,190,Male
573,89,90,99,90,63,36,467,Male
574,53,79,43,94,49,26,344,Male
575,34,23,31,49,98,44,279,Male
576,32,60,92,10,52,79,325,Male
577,37,76,63,80,53,49,358,Male
578,92,85,96,39,51,35,398,Male
579,0,78,50,26,34,71,259,Male
580,70,19,65,9,37,14,214,Male
581,77,29,52,7,39,80,284,Male
582,88,84,40,85,40,17,354,Male
583,23,39,34,96,41,51,284,Male
584,93,6,69,36,40,65,309,Male
585,53,28,6,66,10,62,225,Male
586,32,1,12,22,41,1,109,Male
587,95,32,99,99,13,49,387,Male
588,73,43,25,4,99,36,280,Male
589,77,97,20,76,26,20,316,Male
590,79,18,76,23,6,28,230,Male
591,97,55,88,59,35,38,372,Male
592,76,22,0,76,71,65,310,Male
593,96,75,46,50,59,27,353,Male
594,89,25,11,25,92,52,294,Male
595,34,97,93,92,0,31,347,Male
596,67,54,21,88,41,19,290,Male
597,14,51,58,80,87,3,293,Male
598,2,52,90,31,64,88,327,Male
599,89,75,83,4,8,79,338,Male
600,74,89,48,88,41,53,393,Male
601,14,57,55,59,63,79,327,Male
602,70,22,42,13,26,92,265,Male
603,81,85,16,36,64,9,291,Male
604,60,88,31,55,19,84,337,Male
605,16,34,89,5,63,68,275,Male
606,1,75,61,2,71,38,248,Male
607,2,13,2,67,31,37,152,Male
608,85,2,67,92,51,38,335,Male
609,51,66,17,78,53,1,266,Male
610,91,84,3,93,95,49,415,Male
611,29,55,68,73,18,98,341,Male
612,76,93,70,85,51,99,474,Male
613,43,13,35,15,97,48,251,Male
614,99,21,51,97,74,66,408,Male
615,3,36,2,23,75,80,219,Male
616,43,30,12,65,94,30,274,Male
617,99,59,1,92,1,9,261,Male
618,73,22,94,52,57,37,335,Male
619,93,60,77,13,88,75,406,Male
620,18,49,44,20,80,55,266,Male
621,83,95,0,3,30,87,298,Male
622,71,34,53,4,36,73,271,Male
623,18,7,75,65,3,90,258,Male
624,24,16,75,66,91,97,369,Male
625,16,39,38,35,91,49,268,Male
626,14,87,53,52,22,45,273,Male
627,32,84,92,23,74,48,353,Male
628,69,57,76,31,75,99,407,Male
629,52,52,20,28,66,53,271,Male
630,53,59,37,8,39,55,251,Male
631,39,1,17,74,10,5,146,Male
632,52,44,17,67,17,49,246,Male
633,64,36,36,26,85,60,307,Male
634,76,94,65,47,39,13,334,Male
635,26,3,51,55,20,37,192,Male
636,41,10,20,16,10,48,145,Male
637,90,64,56,47,13,7,277,Male
638,50,3,32,64,52,43,244,Male
639,61,60,81,19,24,72,317,Male
640,17,7,46,79,33,86,268,Male
641,75,84,10,10,75,98,352,Male
642,42,16,72,93,37,16,276,Male
643,25,37,4,37,41,28,172,Male
644,19,42,40,67,2,98,268,Male
645,21,73,9,26,16,62,207,Male
646,85,33,4,84,11,73,290,Male
647,14,10,29,97,68,20,238,Male
648,20,86,33,19,10,62,230,Male
649,52,25,46,64,70,60,317,Male
650,90,51,74,25,23,95,358,Male
651,23,22,35,78,43,79,280,Male
652,49,13,22,69,58,63,274,Male
653,39,73,43,86,2,31,274,Male
654,2,73,81,5,42,36,239,Male
655,5,86,35,80,0,83,289,Male
656,90,35,27,53,52,80,337,Male
657,73,31,75,12,46,49,286,Male
658,44,68,82,47,12,99,352,Male
659,97,10,7,67,89,0,270,Male
660,37,29,79,87,40,88,360,Male
661,54,26,34,63,30,43,250,Male
662,12,18,14,61,49,0,154,Male
663,1,72,55,95,57,19,299,Male
664,24,44,95,94,12,78,347,Male
665,40,11,39,11,28,9,138,Male
666,16,12,99,71,37,35,270,Male
667,73,11,47,37,13,72,253,Male
668,25,88,18,8,2,1,142,Male
669,32,6,60,45,52,93,288,Male
670,99,90,81,60,83,50,463,Male
671,4,75,9,9,65,78,240,Male
672,36,61,99,43,97,8,344,Male
673,99,55,37,97,0,45,333,Male
674,88,55,97,38,69,80,427,Male
675,17,28,25,92,94,89,345,Male
676,41,26,70,73,40,47,297,Male
677,51,50,48,23,15,5,192,Male
678,66,22,45,36,32,45,246,Male
679,3,83,0,17,72,61,236,Male
680,29,51,6,8,26,36,156,Male
681,74,88,90,74,69,84,479,Male
682,92,83,2,36,62,67,342,Male
683,27,15,1,2,53,85,183,Male
684,74,5,0,58,92,60,289,Male
685,68,12,74,2,58,93,307,Male
686,14,96,96,16,58,76,356,Male
687,96,68,37,62,57,28,348,Male
688,76,66,50,47,55,48,342,Male
689,13,60,14,26,9,70,192,Male
690,17,14,64,87,46,83,311,Male
691,48,63,55,17,77,89,349,Male
692,26,78,23,57,32,25,241,Male
693,57,91,63,96,46,70,423,Male
694,78,20,77,10,92,26,303,Male
695,71,16,69,60,28,26,270,Male
696,11,3,74,91,18,81,278,Male
697,47,42,11,43,59,77,279,Male
698,57,81,61,28,22,56,305,Male
699,50,78,96,40,65,56,385,Male
700,68,28,51,23,23,69,262,Male
701,49,83,62,16,54,63,327,Male
702,61,52,15,2,88,62,280,Male
703,25,2,43,31,58,38,197,Male
704,85,3,86,59,7,88,328,Male
705,0,36,19,86,0,49,190,Male
706,67,79,58,84,54,7,349,Male
707,88,66,24,73,33,89,373,Male
708,0,48,94,73,52,96,363,Male
709,2,57,20,18,46,10,153,Male
710,91,60,14,15,54,82,316,Male
711,38,65,20,36,34,37,230,Male
712,18,6,32,59,82,93,290,Male
713,24,41,94,85,72,90,406,Male
714,13,59,12,53,72,60,269,Male
715,41,6,45,45,73,96,306,Male
716,74,98,88,14,24,86,384,Male
717,4,82,46,7,68,60,267,Male
718,25,31,82,81,42,21,282,Male
719,4,72,20,76,91,83,346,Male
720,73,18,3,55,77,87,313,Male
721,77,54,27,85,11,25,279,Male
722,55,50,53,65,36,35,294,Male
723,55,19,38,46,80,20,258,Male
724,94,69,37,20,68,86,374,Male
725,93,32,57,8,85,7,282,Male
726,96,34,30,76,62,68,366,Male
727,82,74,64,67,23,14,324,Male
728,3,89,96,21,78,85,372,Male
729,78,88,29,0,65,15,275,Male
730,82,51,76,75,9,29,322,Male
731,26,2,53,1,92,41,215,Male
732,54,30,84,51,4,18,241,Male
733,12,27,5,36,87,63,230,Male
